SCORES the 	 0.0 0.0 0.0 0.0 0.0 0.02 0.27 0.02 0.0 0.0 0.01 0.0 0.0 0.52 0.99 0.1 0.98 0.98 1.0 1.0 0.0
SCORES was 	 0.0 0.0 0.0 0.0 0.0 0.01 0.93 0.0 0.0 0.0 0.03 0.0 0.0 0.7 1.0 0.85 1.0 0.99 1.0 1.0 0.0
SCORES that 	 0.0 0.0 0.0 0.0 0.0 0.01 0.76 0.0 0.0 0.0 0.01 0.0 0.0 0.96 1.0 0.94 1.0 1.0 1.0 1.0 0.0
SCORES fact 	 0.0 0.0 0.0 0.0 0.0 0.0 0.99 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES information 	 0.0 0.0 0.0 0.0 0.0 0.0 0.98 0.0 0.0 0.0 0.0 0.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES report 	 0.0 0.0 0.0 0.0 0.0 0.0 0.96 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES belief 	 0.0 0.0 0.0 0.0 0.0 0.0 0.99 0.0 0.0 0.0 0.0 0.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES finding 	 0.0 0.0 0.0 0.0 0.0 0.0 0.96 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES prediction 	 0.0 0.0 0.0 0.0 0.0 0.0 0.98 0.0 0.0 0.0 0.0 0.0 0.0 0.96 1.0 0.99 1.0 0.97 1.0 1.0 0.0
SCORES of 	 0.0 0.0 0.0 0.01 0.0 0.03 0.8 0.01 0.0 0.0 0.03 0.01 0.01 0.67 0.95 0.9 0.98 0.98 1.0 1.0 0.01
SCORES by 	 0.0 0.0 0.0 0.0 0.0 0.01 0.83 0.0 0.0 0.0 0.02 0.0 0.0 0.96 1.0 0.98 1.0 1.0 1.0 1.0 0.0
SCORES about 	 0.0 0.0 0.0 0.0 0.0 0.0 0.93 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0 0.0
