SCORES the 	 0.66 0.68 0.71 0.76 0.62 0.59 0.84 0.36 0.84 0.71 0.84 0.52 0.76 0.92 0.83 0.82 0.97 0.97 0.98 1.0 0.23
SCORES was 	 0.92 0.63 0.89 0.82 0.8 0.7 0.93 0.63 0.93 0.87 0.94 0.85 0.94 0.98 0.97 0.91 0.99 1.0 1.0 1.0 0.21
SCORES that 	 0.94 0.67 0.9 0.91 0.83 0.77 0.97 0.83 0.97 0.97 0.97 0.48 0.98 0.99 0.98 0.9 1.0 1.0 1.0 1.0 0.22
SCORES fact 	 1.0 0.85 0.99 0.99 0.97 0.71 1.0 0.76 1.0 0.95 0.99 0.97 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.08
SCORES information 	 1.0 0.73 0.99 0.98 0.94 0.69 1.0 0.88 0.99 0.88 0.98 0.9 0.98 1.0 1.0 0.98 1.0 1.0 1.0 1.0 0.12
SCORES report 	 0.99 0.68 0.95 0.94 0.95 0.8 1.0 0.49 0.99 0.98 0.98 0.9 0.99 1.0 1.0 0.99 1.0 1.0 1.0 1.0 0.27
SCORES belief 	 0.99 0.85 0.96 0.94 0.94 0.7 0.99 0.58 0.99 0.96 0.99 0.78 0.99 1.0 1.0 0.98 1.0 1.0 1.0 1.0 0.08
SCORES finding 	 0.99 0.8 0.97 0.97 0.98 0.9 1.0 0.74 1.0 0.98 0.99 0.88 0.99 1.0 1.0 0.99 1.0 1.0 1.0 1.0 0.18
SCORES prediction 	 1.0 0.49 0.96 0.93 0.96 0.48 0.99 0.55 0.99 0.89 0.99 0.87 0.98 1.0 1.0 0.96 1.0 1.0 1.0 1.0 0.24
SCORES of 	 0.75 0.69 0.75 0.81 0.75 0.51 0.87 0.56 0.84 0.71 0.78 0.51 0.81 0.91 0.88 0.79 0.96 0.96 0.98 0.99 0.26
SCORES by 	 0.94 0.75 0.86 0.82 0.87 0.53 0.96 0.61 0.95 0.76 0.92 0.53 0.9 0.98 0.96 0.9 0.99 1.0 1.0 1.0 0.19
SCORES about 	 0.99 0.84 0.96 0.96 0.96 0.84 1.0 0.72 0.99 0.96 0.98 0.89 0.99 1.0 1.0 0.98 1.0 1.0 1.0 1.0 0.14
