SCORES the 	 0.02 0.01 0.01 0.03 0.02 0.01 0.01 0.0 0.03 0.06 0.55 0.8 0.09 0.54 0.98 0.99 0.95 0.98 1.0 1.0 0.01
SCORES was 	 0.01 0.02 0.0 0.03 0.04 0.0 0.0 0.0 0.0 0.02 0.9 0.99 0.01 0.94 0.99 1.0 0.99 0.99 1.0 1.0 0.0
SCORES that 	 0.0 0.0 0.0 0.03 0.02 0.0 0.0 0.0 0.0 0.16 0.99 0.99 0.01 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES fact 	 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES information 	 0.0 0.01 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.98 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES report 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.99 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES belief 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.99 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES finding 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.99 1.0 0.0 0.98 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES prediction 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.99 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES of 	 0.03 0.06 0.03 0.06 0.05 0.04 0.03 0.01 0.03 0.08 0.53 0.74 0.08 0.63 0.95 0.95 0.91 0.95 0.99 0.99 0.03
SCORES by 	 0.0 0.01 0.01 0.03 0.02 0.01 0.01 0.0 0.01 0.1 0.95 0.98 0.01 0.87 0.99 1.0 0.99 1.0 1.0 1.0 0.0
SCORES about 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.99 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 0.0
