SCORES the 	 0.79 0.74 0.65 0.78 0.87 0.87 0.84 0.9 0.73 0.94 0.72 0.81 0.91 0.94 0.94 0.92 0.94 0.98 0.99 1.0 0.16
SCORES was 	 0.81 0.86 0.87 0.88 0.93 0.97 0.88 0.98 0.89 0.98 0.85 0.89 0.97 0.98 0.98 0.96 0.98 1.0 1.0 1.0 0.06
SCORES who 	 0.94 0.96 0.95 0.94 0.99 1.0 0.98 1.0 0.99 1.0 0.97 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
SCORES that 	 0.86 0.88 0.83 0.69 0.97 0.97 0.91 0.99 0.91 0.99 0.89 0.94 0.98 0.99 0.99 0.98 0.99 1.0 1.0 1.0 0.04
SCORES fact 	 0.9 0.91 0.93 0.93 0.99 1.0 0.96 1.0 0.97 1.0 0.95 0.97 0.99 1.0 1.0 0.99 1.0 1.0 1.0 1.0 0.01
SCORES information 	 0.94 0.94 0.94 0.95 0.99 1.0 0.97 1.0 0.98 1.0 0.97 0.98 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
SCORES report 	 0.9 0.88 0.8 0.85 0.98 0.99 0.97 1.0 0.97 1.0 0.96 0.95 0.99 1.0 1.0 0.99 1.0 1.0 1.0 1.0 0.02
SCORES belief 	 0.95 0.96 0.95 0.96 0.99 1.0 0.99 1.0 0.99 1.0 0.96 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
SCORES finding 	 0.93 0.97 0.98 0.97 0.99 1.0 0.98 1.0 0.99 1.0 0.98 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
SCORES prediction 	 0.91 0.92 0.9 0.91 0.99 0.99 0.97 1.0 0.97 1.0 0.9 0.97 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
SCORES of 	 0.74 0.72 0.65 0.7 0.81 0.85 0.79 0.91 0.78 0.92 0.75 0.78 0.87 0.9 0.93 0.89 0.91 0.97 0.98 0.99 0.18
SCORES by 	 0.88 0.82 0.71 0.82 0.91 0.95 0.89 0.98 0.9 0.98 0.78 0.89 0.97 0.97 0.98 0.96 0.98 0.99 1.0 1.0 0.05
SCORES about 	 0.92 0.89 0.86 0.95 0.98 1.0 0.96 1.0 0.97 1.0 0.96 0.97 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.01
