SCORES the 	 0.59 0.84 0.68 0.43 0.54 0.71 0.38 0.36 0.71 0.57 0.54 0.62 0.32 0.49 0.45 0.49 0.49 0.65 0.44 1.0 0.45
SCORES was 	 0.91 0.65 0.8 0.49 0.09 0.18 0.2 0.48 0.58 0.47 0.63 0.41 0.47 0.91 0.4 0.24 0.47 0.78 0.96 1.0 0.38
SCORES who 	 0.91 0.99 0.96 0.46 0.85 0.89 0.17 0.19 0.96 0.89 0.86 0.93 0.9 0.96 0.9 0.07 0.99 0.83 0.99 1.0 0.27
SCORES that 	 0.86 0.93 0.82 0.33 0.28 0.67 0.79 0.26 0.7 0.74 0.95 0.48 0.35 0.96 0.77 0.63 0.09 0.07 0.94 1.0 0.33
SCORES fact 	 0.8 0.96 0.98 0.46 0.16 0.81 0.22 0.61 0.91 0.47 0.96 0.62 0.4 0.99 0.84 0.27 0.88 0.98 0.99 1.0 0.2
SCORES information 	 0.88 0.63 0.96 0.3 0.03 0.73 0.07 0.24 0.64 0.34 0.88 0.35 0.1 0.98 0.58 0.31 0.55 0.9 0.99 1.0 0.13
SCORES report 	 1.0 0.86 0.97 0.31 0.04 0.79 0.09 0.48 0.66 0.63 0.98 0.53 0.35 0.99 0.85 0.4 0.09 0.9 0.99 1.0 0.25
SCORES belief 	 0.75 0.99 0.87 0.15 0.04 0.55 0.02 0.3 0.94 0.45 0.47 0.36 0.15 0.99 0.79 0.23 0.27 0.94 1.0 1.0 0.6
SCORES finding 	 0.96 0.77 0.91 0.16 0.02 0.54 0.03 0.39 0.81 0.53 0.96 0.56 0.42 0.99 0.73 0.25 0.22 0.92 1.0 1.0 0.06
SCORES prediction 	 0.95 0.86 0.99 0.36 0.07 0.52 0.3 0.18 0.53 0.65 0.98 0.5 0.27 0.99 0.28 0.21 0.09 0.97 1.0 1.0 0.25
SCORES of 	 0.69 0.71 0.58 0.32 0.3 0.55 0.28 0.56 0.62 0.6 0.73 0.61 0.44 0.85 0.6 0.42 0.58 0.76 0.86 1.0 0.36
SCORES by 	 0.56 0.78 0.49 0.49 0.33 0.72 0.13 0.66 0.83 0.73 0.8 0.58 0.3 0.93 0.66 0.52 0.64 0.89 0.95 1.0 0.36
SCORES about 	 0.97 0.92 0.89 0.41 0.08 0.34 0.07 0.57 0.83 0.41 0.95 0.43 0.22 0.99 0.91 0.31 0.43 0.96 0.99 1.0 0.34
